slot_id,date,day_of_week,is_weekend,court_id,start_hour,end_hour,demand_segment,target_occupancy_rate,is_booked,price_vnd,variable_cost_vnd,revenue_vnd,contribution_vnd
2026-06-01_06_C01,2026-06-01,Monday,0,C01,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C02,2026-06-01,Monday,0,C02,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C03,2026-06-01,Monday,0,C03,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C04,2026-06-01,Monday,0,C04,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C05,2026-06-01,Monday,0,C05,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C06,2026-06-01,Monday,0,C06,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C07,2026-06-01,Monday,0,C07,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C08,2026-06-01,Monday,0,C08,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C09,2026-06-01,Monday,0,C09,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_06_C10,2026-06-01,Monday,0,C10,6,7,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C01,2026-06-01,Monday,0,C01,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C02,2026-06-01,Monday,0,C02,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C03,2026-06-01,Monday,0,C03,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C04,2026-06-01,Monday,0,C04,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C05,2026-06-01,Monday,0,C05,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C06,2026-06-01,Monday,0,C06,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C07,2026-06-01,Monday,0,C07,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C08,2026-06-01,Monday,0,C08,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C09,2026-06-01,Monday,0,C09,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_07_C10,2026-06-01,Monday,0,C10,7,8,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C01,2026-06-01,Monday,0,C01,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C02,2026-06-01,Monday,0,C02,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C03,2026-06-01,Monday,0,C03,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C04,2026-06-01,Monday,0,C04,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C05,2026-06-01,Monday,0,C05,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C06,2026-06-01,Monday,0,C06,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C07,2026-06-01,Monday,0,C07,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C08,2026-06-01,Monday,0,C08,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C09,2026-06-01,Monday,0,C09,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_08_C10,2026-06-01,Monday,0,C10,8,9,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_09_C01,2026-06-01,Monday,0,C01,9,10,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_09_C02,2026-06-01,Monday,0,C02,9,10,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_09_C03,2026-06-01,Monday,0,C03,9,10,other_off_peak,0.4,1,120000,60000,120000,60000
2026-06-01_09_C04,2026-06-01,Monday,0,C04,9,10,other_off_peak,0.4,1,120000,60000,120000,60000
